model_date,timestamp,state_abb,party,variable,metric,value
28/08/2024,2024-08-28T16:32:11Z,WV,DEM,state vote dem margin,upper,-0.2262
28/08/2024,2024-08-28T16:32:11Z,WY,DEM,state vote dem margin,upper,-0.2753
28/08/2024,2024-08-28T16:32:11Z,NE-03,DEM,state vote dem margin,upper,-0.3757
28/08/2024,2024-08-28T16:32:11Z,DC,DEM,state vote dem margin,median,0.8598
28/08/2024,2024-08-28T16:32:11Z,VT,DEM,state vote dem margin,median,0.3485
28/08/2024,2024-08-28T16:32:11Z,MA,DEM,state vote dem margin,median,32.69%
28/08/2024,2024-08-28T16:32:11Z,MD,DEM,state vote dem margin,median,0.3184
28/08/2024,2024-08-28T16:32:11Z,HI,DEM,state vote dem margin,median,0.2846
28/08/2024,2024-08-28T16:32:11Z,CA,DEM,state vote dem margin,median,0.2813
28/08/2024,2024-08-28T16:32:11Z,ME-01,DEM,state vote dem margin,median,0.2251
28/08/2024,2024-08-28T16:32:11Z,NY,DEM,state vote dem margin,median,0.2037
28/08/2024,2024-08-28T16:32:11Z,RI,DEM,state vote dem margin,median,0.2013
28/08/2024,2024-08-28T16:32:11Z,CT,DEM,state vote dem margin,median,0.1918
28/08/2024,2024-08-28T16:32:11Z,DE,DEM,state vote dem margin,median,0.1779
28/08/2024,2024-08-28T16:32:11Z,WA,DEM,state vote dem margin,median,0.1774
28/08/2024,2024-08-28T16:32:11Z,IL,DEM,state vote dem margin,median,0.1606
28/08/2024,2024-08-28T16:32:11Z,NJ,DEM,state vote dem margin,median,0.1508
28/08/2024,2024-08-28T16:32:11Z,OR,DEM,state vote dem margin,median,0.1458
28/08/2024,2024-08-28T16:32:11Z,CO,DEM,state vote dem margin,median,0.1286
28/08/2024,2024-08-28T16:32:11Z,NM,DEM,state vote dem margin,median,0.0992
28/08/2024,2024-08-28T16:32:11Z,ME,DEM,state vote dem margin,median,0.0919
28/08/2024,2024-08-28T16:32:11Z,VA,DEM,state vote dem margin,median,0.0773
28/08/2024,2024-08-28T16:32:11Z,MN,DEM,state vote dem margin,median,0.0768
28/08/2024,2024-08-28T16:32:11Z,NH,DEM,state vote dem margin,median,0.0647
28/08/2024,2024-08-28T16:32:11Z,NE-02,DEM,state vote dem margin,median,0.0561
28/08/2024,2024-08-28T16:32:11Z,MI,DEM,state vote dem margin,median,0.0271
28/08/2024,2024-08-28T16:32:11Z,WI,DEM,state vote dem margin,median,0.0262
28/08/2024,2024-08-28T16:32:11Z,PA,DEM,state vote dem margin,median,0.0127
28/08/2024,2024-08-28T16:32:11Z,NV,DEM,state vote dem margin,median,0.0107
28/08/2024,2024-08-28T16:32:11Z,AZ,DEM,state vote dem margin,median,0.0075
28/08/2024,2024-08-28T16:32:11Z,GA,DEM,state vote dem margin,median,-0.0064
28/08/2024,2024-08-28T16:32:11Z,NC,DEM,state vote dem margin,median,-0.0066
28/08/2024,2024-08-28T16:32:11Z,FL,DEM,state vote dem margin,median,-0.0407
28/08/2024,2024-08-28T16:32:11Z,TX,DEM,state vote dem margin,median,-0.0499
28/08/2024,2024-08-28T16:32:11Z,ME-02,DEM,state vote dem margin,median,-0.0636
28/08/2024,2024-08-28T16:32:11Z,OH,DEM,state vote dem margin,median,-0.0824
28/08/2024,2024-08-28T16:32:11Z,IA,DEM,state vote dem margin,median,-0.0884
28/08/2024,2024-08-28T16:32:11Z,AK,DEM,state vote dem margin,median,-0.1091
28/08/2024,2024-08-28T16:32:11Z,SC,DEM,state vote dem margin,median,-0.1203
28/08/2024,2024-08-28T16:32:11Z,KS,DEM,state vote dem margin,median,-0.1522
28/08/2024,2024-08-28T16:32:11Z,NE-01,DEM,state vote dem margin,median,-0.1527
28/08/2024,2024-08-28T16:32:11Z,MT,DEM,state vote dem margin,median,-0.1571
28/08/2024,2024-08-28T16:32:11Z,MO,DEM,state vote dem margin,median,-0.159
28/08/2024,2024-08-28T16:32:11Z,IN,DEM,state vote dem margin,median,-0.1663
28/08/2024,2024-08-28T16:32:11Z,MS,DEM,state vote dem margin,median,-0.1678
28/08/2024,2024-08-28T16:32:11Z,LA,DEM,state vote dem margin,median,-0.1878
28/08/2024,2024-08-28T16:32:11Z,NE,DEM,state vote dem margin,median,-0.1924
28/08/2024,2024-08-28T16:32:11Z,UT,DEM,state vote dem margin,median,-0.2152
28/08/2024,2024-08-28T16:32:11Z,TN,DEM,state vote dem margin,median,-0.2362
28/08/2024,2024-08-28T16:32:11Z,AL,DEM,state vote dem margin,median,-0.2625
28/08/2024,2024-08-28T16:32:11Z,KY,DEM,state vote dem margin,median,-0.2639
28/08/2024,2024-08-28T16:32:11Z,SD,DEM,state vote dem margin,median,-0.2654
28/08/2024,2024-08-28T16:32:11Z,AR,DEM,state vote dem margin,median,-0.2797
28/08/2024,2024-08-28T16:32:11Z,ID,DEM,state vote dem margin,median,-0.3135
28/08/2024,2024-08-28T16:32:11Z,OK,DEM,state vote dem margin,median,-0.3368
28/08/2024,2024-08-28T16:32:11Z,ND,DEM,state vote dem margin,median,-0.3389
28/08/2024,2024-08-28T16:32:11Z,WV,DEM,state vote dem margin,median,-0.3922
28/08/2024,2024-08-28T16:32:11Z,WY,DEM,state vote dem margin,median,-0.4379
28/08/2024,2024-08-28T16:32:11Z,NE-03,DEM,state vote dem margin,median,-0.5312
28/08/2024,2024-08-28T16:32:11Z,WY,REP,state vote,p_win,0.9999
28/08/2024,2024-08-28T16:32:11Z,WY,DEM,state vote,p_win,1.00E-04
28/08/2024,2024-08-28T16:32:11Z,WV,REP,state vote,p_win,1
28/08/2024,2024-08-28T16:32:11Z,WV,DEM,state vote,p_win,0
28/08/2024,2024-08-28T16:32:11Z,WI,REP,state vote,p_win,0.3829
28/08/2024,2024-08-28T16:32:11Z,WI,DEM,state vote,p_win,0.6171
28/08/2024,2024-08-28T16:32:11Z,WA,REP,state vote,p_win,0.024
28/08/2024,2024-08-28T16:32:11Z,WA,DEM,state vote,p_win,0.976
28/08/2024,2024-08-28T16:32:11Z,VT,REP,state vote,p_win,4.00E-04
28/08/2024,2024-08-28T16:32:11Z,VT,DEM,state vote,p_win,0.9996
28/08/2024,2024-08-28T16:32:11Z,VA,REP,state vote,p_win,0.1883
28/08/2024,2024-08-28T16:32:11Z,VA,DEM,state vote,p_win,0.8117
28/08/2024,2024-08-28T16:32:11Z,UT,REP,state vote,p_win,0.991
28/08/2024,2024-08-28T16:32:11Z,UT,DEM,state vote,p_win,0.009
28/08/2024,2024-08-28T16:32:11Z,TX,REP,state vote,p_win,0.7151
28/08/2024,2024-08-28T16:32:11Z,TX,DEM,state vote,p_win,0.2849
28/08/2024,2024-08-28T16:32:11Z,TN,REP,state vote,p_win,0.9948
28/08/2024,2024-08-28T16:32:11Z,TN,DEM,state vote,p_win,0.0052
28/08/2024,2024-08-28T16:32:11Z,SD,REP,state vote,p_win,0.9978
28/08/2024,2024-08-28T16:32:11Z,SD,DEM,state vote,p_win,0.0022
28/08/2024,2024-08-28T16:32:11Z,SC,REP,state vote,p_win,0.9103
